,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,text,label,label_text
39,87,173,986,es_0069883,"Sólo le doy 3 estrellas, porque yo me lo compré pensando que sería para varias cargas, pero en mi caso sólo hace una carga y media. Y cuando conecto 2 móviles a la vez sólo carga uno de ellos, el otro pone que también está cargando pero al cabo de un rato no ha cargado nada. Me decepcionó porque para eso me lo hubiera cogido más pequeñito y de una sóla carga real.",2,2
40,78,179,858,es_0156789,"Buen producto si lo usas para, decoración interior, los cables son muy endebles pero cumplen con su cometido",2,2
41,86,192,785,es_0608165,"Está bien pero las 3 bolitas duraron un dia, se pierden claro.el freno en un suelo de tarima no sirve de mucho con lo que vale para jugar( si conservas las bolitas) pero hasta que el niño no tenga estabilidad como para caminar sólo no sirve de mucho.No lo volveria a comprar pero ya que lo tengo escucharemos las cancioncitas jeje",2,2
42,72,195,985,es_0549065,"Funciona, pero por su precio, tendria que tener mas prestaciones.",2,2
43,100,174,984,es_0116451,"Menos mal que vi otra opinion pues le puse jabón liquido que sale en espuma de mercadona uno de melon y nada no funcionaba,lo quite y puse jabón normal y tampoco,al final funciona si pones un tercio de jabón y dos partes de agua lo agitas y entonces funciona perooo ,no tiene regulador de la cantidad de jabón como tiene otro modelo que compre aquí en amazon y ese le puse fairy en liquido y tira espuma y tiene dos posiciones de cantidad de salida y este modelo no,para quien lo valore que luego lo compre y quiera devolverlo",2,2
44,76,176,931,es_0713952,"Dice que no se rompe, pero.si se rompe",2,2
45,88,196,765,es_0749644,"El producto no llegó en el tiempo indicado, exactamente 24 días después, es lamentable que pasen estas cosas, ya no me sirve el producto para la fecha en la que ha llegado.",2,2
46,74,143,818,es_0374776,Es ligera y recomendable para niños,2,2
47,97,164,807,es_0091387,Es más pequeño de lo que parece.Pero bien,2,2
48,83,167,944,es_0682904,Están muy bien escriben bien la punta la elegí ancha por un problema que tengo en el brazo y el problema es cuando deja manchas de tinta en la hoja,2,2
49,82,141,899,es_0274320,"No trae ruedas, no de puede llegar, la tela de mancha fácilmente",2,2
50,101,139,833,es_0978089,Es bastante simple y no trae muchas cosas pero más completo que otros que he visto más caros. Para el precio está bien.,2,2
51,107,243,1140,es_0375678,"Esta bien por 40 euros, le da una nueva vida a un pc ""viejo"" pero desde que la instale de vez en cuando me sale la pantalla azul, en la carrera nos enseñaron que esto se puede deber a un fallo al leer datos, el sistema operativo falla y se va todo a la kaka, no digo que sea necesariamente por este ssd pero yo dejo ahi mi experiencia",3,3
52,134,241,1048,es_0594034,"Por sus propiedades, es un refrigerante bastante bueno, pero por ese precio creo que existen mejores refrigerantes. Lo compre porque era el que llevaba y solo tenía que rellenar. En cuanto le haga el cambio, pondré otro que me gusta más.",3,3
53,119,207,1274,es_0444396,"Esta bastante bien mis hijos están encantados, lo único es la pegatina de abajo que venían de los dos despegada, pero las hemos colado con cola contacto y están perfecto",3,3
54,131,216,1263,es_0289110,"Lo he probado poco , pero parece que está bien.",3,3
55,122,246,1041,es_0614523,Es bonita y muy cómoda. La única pega es que no puedes meterle mucho mucho peso o se empezará a descoser por la parte del asa.,3,3
56,103,235,1239,es_0800300,Buenos cuadros pero les pongo un pero y es que an venido sin cristal con lo cual hubiese preferido que aunque hubiesen sido un poco mas caros pero con cristales.,3,3
57,105,251,1078,es_0419970,todo perfecto en tiempo y producto,3,3
58,121,236,1117,es_0131358,Cumple su función aunque esperaba más.,3,3
59,117,266,1025,es_0450749,En la línea de calidad de esta marca,3,3
60,133,222,1050,es_0334758,"Es lo que he pedido, per no lo esperaba tan pequeñitos.",3,3
61,129,247,1201,es_0697326,Estable. Pero si los picos vinieran redondeados,3,3
62,115,218,1221,es_0122762,"La compré para mi mujer y le ha gustado bastante. Es muy grande, pero dormimos en una cama de 1,50m y no hemos tenido problema de espacio. La única pega que encuentra es que es baja para dormir sin almohada, si pone la almohada debajo le resulta demasiado alta. También la usa en el sofá. Los materiales son de calidad y agradables",3,3
63,135,234,1192,es_0817238,"Corresponde a la descripcion, muy bien",3,3
64,111,250,1019,es_0857804,Son ejercicios sencillos pero sirven para tener los conceptos claros,3,3
65,106,265,1145,es_0978754,Está bien pero se me suelta un poco de su enganche,3,3
66,124,220,1124,es_0795127,"Estoy totalmente satisfecha con mi compra, el artículo es tal cual la publicación, es ligera y plancha el cabello de j a manera uniforme al mismo tiempo que le da brillo, cuerpo y volumen. El único detalle (no se si sea error de fábrica o defecto en mi artículo) es que trae un pequeño falso contacto en el cable y con el movimiento de la mano al girarla para querer hacer rizos tiene a apagarse. Pero fuera de ese pequeño detalle la recomiendo. La volvería a comprar sin duda",3,3
67,127,248,1163,es_0349416,"Es poco rollo para lavarlo, porque la malla se queda un poco negrita. Pero cumple su función perfectamente",3,3
68,141,277,1661,es_0458347,"En su línea, la verdad. Acción hasta el final, mujeres apasionantes, hombres enamorados y mucha acción. La verdad es que engancha desde el principio.",4,4
69,137,310,1659,es_0736226,Teclado genial!! Tal cual se describía y además se adapta perfectamente a mi iPad.,4,4
70,152,297,1574,es_0921629,Tal cual fotos de pedido. Es perfecto y ligero,4,4
71,151,313,1537,es_0219613,Un extintor es algo que todos deberíamos tener en casa. Contento con la compra.,4,4
72,168,301,1505,es_0246025,Buenas bolsas para la envasadora al vacio. Cumplen su funcion. Si es la medida que quieres estan muy bien,4,4
73,155,324,1624,es_0543232,todo correcto. Producto igual que en la foto y de buena calidad. Tardo más de lo previsto porque no había en estoc. aparte de esto todo bien.,4,4
74,143,295,1425,es_0525019,"No me ha gustado, que con el sol se destiñe muy rápido",4,4
75,153,274,1459,es_0763921,"Es una pasada. Calidad-precio flipante. Es de los libros más chulos que vi, super completos, con anillas y recetas ideales",4,4
76,158,281,1663,es_0259864,Lo tengo hace un montón de tiempo y lo utilizo en el trabajo todos los días.. jejeje!!! Está genial!! ve viene fenomenal. A mis compañeros les gusta mucho.,4,4
77,146,273,1486,es_0597388,"Es un libro extraordinario y práctico sobre cómo enfocar nuestros pensamientos, sobre todo cuando éstos nos están haciendo daño. Me ha ayudado mucho y lo recomiendo.",4,4
78,139,290,1352,es_0320614,Después de haber probado modelos anteriores es exactamente lo que esperaba. Limpieza mucho mejor que con un cepillo convencional.,4,4
79,169,285,1426,es_0074575,"Me encanta, es muy bonito, me queda genial y de momento funciona de maravilla. Fue un poco difícil quitar los eslabones, pero al final todo bien.",4,4
80,156,326,1461,es_0925995,El tejido se llena de polvo rapido,4,4
81,160,294,1374,es_0050422,"Para los que tengas que hacer viajes de largo recorrido y les guste dormir es estupenda, totalmente recomendable su compra",4,4
82,148,312,1638,es_0370648,"buena calidad, estéticamente no son lo mas, ya que no parecen bombillas convencionales, pero an muy buena luz",4,4
83,147,284,1444,es_0314300,el problema es que amazon solo deje comprar 5 como maximo por persona,4,4
84,145,314,1437,es_0763415,Muy práctico y funcional a buen precio,4,4
